release1,release2,value
io.netty:netty-jni-util:0.0.9.Final,io.netty:netty-jni-util:0.0.7.Final,0.0
io.netty:netty-transport-native-unix-common:4.1.86.Final,io.netty:netty-transport-native-unix-common:4.1.89.Final,0.0
io.netty:netty-transport-native-unix-common:4.1.86.Final,io.netty:netty-transport-native-unix-common:4.1.91.Final,2.0
io.netty:netty-tcnative-classes:2.0.62.Final,io.netty:netty-tcnative-classes:2.0.53.Final,3.0
io.netty:netty-transport-native-unix-common:4.1.86.Final,io.netty:netty-transport-native-unix-common:4.1.87.Final,0.0
io.netty:netty-tcnative-classes:2.0.62.Final,io.netty:netty-tcnative-classes:2.0.56.Final,1.0
io.netty:netty-transport-native-unix-common:4.1.86.Final,io.netty:netty-transport-native-unix-common:4.1.104.Final,3.0
io.netty:netty-transport-native-unix-common:4.1.86.Final,io.netty:netty-transport-native-unix-common:4.1.81.Final,0.0
io.netty:netty-tcnative-classes:2.0.62.Final,io.netty:netty-tcnative-classes:2.0.54.Final,3.0
io.netty:netty-tcnative-classes:2.0.62.Final,io.netty:netty-tcnative-classes:2.0.59.Final,2.0
io.netty:netty-transport-native-unix-common:4.1.86.Final,io.netty:netty-transport-native-unix-common:4.1.96.Final,3.0
io.netty:netty-tcnative-classes:2.0.62.Final,io.netty:netty-tcnative-classes:2.0.50.Final,3.0
io.netty:netty-tcnative-classes:2.0.62.Final,io.netty:netty-tcnative-classes:2.0.58.Final,2.0
io.netty:netty-resolver-dns:4.1.86.Final,io.netty:netty-resolver-dns:4.1.96.Final,13.0
io.netty:netty-tcnative-classes:2.0.62.Final,io.netty:netty-tcnative-classes:2.0.65.Final,0.0
io.netty:netty-resolver-dns:4.1.86.Final,io.netty:netty-resolver-dns:4.1.104.Final,13.0
org.springframework:spring-aop:6.0.14,org.springframework:spring-aop:6.0.21,0.0
org.springframework:spring-aop:6.0.14,org.springframework:spring-aop:6.0.20,0.0
org.springframework:spring-context:6.0.14,org.springframework:spring-context:5.3.15,91.0
org.springframework:spring-context:6.0.14,org.springframework:spring-context:5.3.18,90.0
org.springframework:spring-context:6.0.14,org.springframework:spring-context:5.3.19,90.0
org.springframework:spring-context:6.0.14,org.springframework:spring-context:5.3.17,91.0
org.springframework:spring-context:6.0.14,org.springframework:spring-context:6.0.21,5.0
org.springframework:spring-context:6.0.14,org.springframework:spring-context:6.0.20,5.0
org.springframework:spring-aop:6.0.14,org.springframework:spring-aop:6.0.0,11.0
org.springframework:spring-aop:6.0.14,org.springframework:spring-aop:6.0.17,0.0
org.springframework:spring-aop:6.0.14,org.springframework:spring-aop:6.0.8,10.0
org.springframework:spring-aop:6.0.14,org.springframework:spring-aop:6.0.9,10.0
org.springframework:spring-aop:6.0.14,org.springframework:spring-aop:6.0.6,11.0
org.springframework:spring-aop:6.0.14,org.springframework:spring-aop:6.0.7,10.0
org.springframework:spring-aop:6.0.14,org.springframework:spring-aop:6.0.4,11.0
org.springframework:spring-aop:6.0.14,org.springframework:spring-aop:6.0.5,11.0
org.springframework:spring-aop:6.0.14,org.springframework:spring-aop:6.0.2,11.0
org.springframework:spring-aop:6.0.14,org.springframework:spring-aop:6.0.3,11.0
org.springframework:spring-aop:6.0.14,org.springframework:spring-aop:6.0.18,0.0
org.springframework:spring-core:6.0.6,org.springframework:spring-core:6.0.15,22.0
org.springframework:spring-core:6.0.6,org.springframework:spring-core:6.0.12,15.0
org.springframework:spring-core:6.0.7,org.springframework:spring-core:5.3.28,241.0
org.springframework:spring-core:6.0.7,org.springframework:spring-core:5.3.27,240.0
org.springframework:spring-core:6.0.7,org.springframework:spring-core:5.3.26,240.0
org.springframework:spring-core:6.0.7,org.springframework:spring-core:5.3.25,247.0
org.springframework:spring-core:6.0.7,org.springframework:spring-core:6.0.9,6.0
org.springframework:spring-core:6.0.7,org.springframework:spring-core:5.3.29,241.0
org.springframework:spring-core:6.0.7,org.springframework:spring-core:6.0.8,3.0
org.springframework:spring-core:6.0.7,org.springframework:spring-core:6.0.6,1.0
org.springframework:spring-core:6.0.7,org.springframework:spring-core:6.0.5,1.0
org.springframework:spring-core:6.0.6,org.springframework:spring-core:6.0.14,22.0
org.springframework:spring-oxm:6.1.5,org.springframework:spring-oxm:5.3.27,4.0
org.springframework:spring-oxm:6.1.5,org.springframework:spring-oxm:5.3.28,4.0
org.springframework:spring-oxm:6.1.5,org.springframework:spring-oxm:5.3.29,4.0
org.springframework.hateoas:spring-hateoas:2.2.1,org.springframework.hateoas:spring-hateoas:2.0.6,7.0
org.springframework:spring-core:6.0.6,org.springframework:spring-core:6.0.21,22.0
org.springframework:spring-context:6.1.5,org.springframework:spring-context:5.3.15,149.0
org.springframework:spring-core:6.0.6,org.springframework:spring-core:6.0.20,22.0
org.springframework:spring-context:6.1.5,org.springframework:spring-context:5.3.18,148.0
org.springframework:spring-core:6.0.6,org.springframework:spring-core:5.3.4,266.0
org.springframework:spring-context:6.1.5,org.springframework:spring-context:5.3.19,148.0
org.springframework:spring-core:6.0.6,org.springframework:spring-core:5.3.9,258.0
org.springframework:spring-context:6.1.5,org.springframework:spring-context:5.3.17,149.0
org.springframework:spring-core:6.0.6,org.springframework:spring-core:6.1.9,59.0
org.springframework:spring-context:6.1.5,org.springframework:spring-context:6.0.21,74.0
org.springframework:spring-core:6.0.6,org.springframework:spring-core:6.1.8,59.0
org.springframework:spring-context:6.1.5,org.springframework:spring-context:6.0.20,74.0
org.springframework:spring-core:6.0.6,org.springframework:spring-core:6.1.7,59.0
org.springframework:spring-context:6.1.5,org.springframework:spring-context:6.0.9,82.0
org.springframework:spring-core:6.0.6,org.springframework:spring-core:6.1.5,58.0
org.springframework:spring-context:6.1.5,org.springframework:spring-context:6.0.8,82.0
org.springframework:spring-core:6.0.6,org.springframework:spring-core:6.1.4,57.0
org.springframework:spring-context:6.1.5,org.springframework:spring-context:6.0.7,82.0
org.springframework:spring-core:6.0.6,org.springframework:spring-core:5.3.20,253.0
org.springframework:spring-webmvc:5.3.27,org.springframework:spring-webmvc:6.0.5,226.0
jakarta.activation:jakarta.activation-api:1.2.1,jakarta.activation:jakarta.activation-api:2.1.2,21.0
org.springframework:spring-webmvc:5.3.27,org.springframework:spring-webmvc:6.0.18,228.0
com.fasterxml.jackson.core:jackson-databind:2.12.4,com.fasterxml.jackson.core:jackson-databind:2.13.2.1,107.0
org.springframework:spring-webmvc:5.3.27,org.springframework:spring-webmvc:6.0.17,228.0
com.fasterxml.jackson.core:jackson-databind:2.12.4,com.fasterxml.jackson.core:jackson-databind:2.13.4.2,109.0
org.springframework:spring-webmvc:5.3.27,org.springframework:spring-webmvc:6.0.16,228.0
com.fasterxml.jackson.core:jackson-databind:2.12.4,com.fasterxml.jackson.core:jackson-databind:2.9.9,255.0
org.springframework:spring-webmvc:5.3.27,org.springframework:spring-webmvc:6.0.15,227.0
com.fasterxml.jackson.core:jackson-databind:2.12.4,com.fasterxml.jackson.core:jackson-databind:2.10.5.1,195.0
org.springframework:spring-webmvc:5.3.27,org.springframework:spring-webmvc:5.3.15,1.0
com.fasterxml.jackson.core:jackson-databind:2.12.4,com.fasterxml.jackson.core:jackson-databind:2.9.6,255.0
org.springframework:spring-webmvc:5.3.27,org.springframework:spring-webmvc:6.0.9,226.0
com.fasterxml.jackson.core:jackson-databind:2.12.4,com.fasterxml.jackson.core:jackson-databind:2.8.3,403.0
org.springframework:spring-webmvc:5.3.27,org.springframework:spring-webmvc:6.0.8,226.0
com.fasterxml.jackson.core:jackson-databind:2.12.4,com.fasterxml.jackson.core:jackson-databind:2.6.3,458.0
org.springframework:spring-webmvc:5.3.27,org.springframework:spring-webmvc:6.0.7,226.0
jakarta.activation:jakarta.activation-api:1.2.1,jakarta.activation:jakarta.activation-api:1.2.2,0.0
org.springframework:spring-webmvc:5.3.27,org.springframework:spring-webmvc:6.0.6,226.0
org.springframework:spring-webmvc:5.3.27,org.springframework:spring-webmvc:6.0.0,226.0
jakarta.activation:jakarta.activation-api:1.2.1,jakarta.activation:jakarta.activation-api:2.1.3,21.0
org.springframework:spring-context:6.1.5,org.springframework:spring-context:6.0.6,83.0
org.springframework:spring-context:6.1.5,org.springframework:spring-context:6.0.5,83.0
org.springframework:spring-context:6.1.5,org.springframework:spring-context:6.0.4,84.0
org.springframework:spring-core:6.0.6,org.springframework:spring-core:6.0.13,18.0
org.springframework:spring-context:6.1.5,org.springframework:spring-context:6.0.3,85.0
org.springframework:spring-core:6.0.6,org.springframework:spring-core:6.0.10,7.0
org.springframework:spring-context:6.1.5,org.springframework:spring-context:6.0.2,85.0
org.springframework:spring-core:6.0.6,org.springframework:spring-core:6.0.11,7.0
org.springframework:spring-context:6.1.5,org.springframework:spring-context:6.0.0,85.0
org.springframework:spring-core:6.0.6,org.springframework:spring-core:6.0.18,22.0
org.springframework:spring-context:6.1.5,org.springframework:spring-context:5.3.30,147.0
org.springframework:spring-core:6.0.6,org.springframework:spring-core:6.0.16,22.0
org.springframework:spring-context:6.1.5,org.springframework:spring-context:5.3.31,147.0
org.springframework:spring-core:6.0.6,org.springframework:spring-core:6.0.17,22.0
