repo,module,compile_success,test_pass,original_tech_lag,current_tech_lag,reduced_tech_lag,original_dep_count,current_dep_count,reduced_dep_count
java-design-patterns,curiously-recurring-template-pattern,True,True,7,4.0,3,3,3.0,0
java-design-patterns,adapter,True,True,7,4.0,3,3,3.0,0
java-design-patterns,pipeline,True,True,7,4.0,3,3,3.0,0
java-design-patterns,circuit-breaker,True,True,7,4.0,3,3,3.0,0
java-design-patterns,factory-kit,True,True,7,4.0,3,3,3.0,0
java-design-patterns,monitor,True,True,7,4.0,3,3,3.0,0
java-design-patterns,double-dispatch,True,True,7,4.0,3,3,3.0,0
java-design-patterns,single-table-inheritance,True,True,303,19.0,284,50,49.0,1
java-design-patterns,unit-of-work,True,True,7,4.0,3,3,3.0,0
java-design-patterns,event-queue,True,True,7,4.0,3,3,3.0,0
java-design-patterns,factory,True,True,7,4.0,3,3,3.0,0
java-design-patterns,execute-around,True,True,7,4.0,3,3,3.0,0
java-design-patterns,command,True,True,7,4.0,3,3,3.0,0
java-design-patterns,spatial-partition,True,True,7,4.0,3,3,3.0,0
java-design-patterns,feature-toggle,True,True,7,4.0,3,3,3.0,0
java-design-patterns,composite-view,True,True,10,4.0,6,4,4.0,0
java-design-patterns,parameter-object,True,True,7,4.0,3,3,3.0,0
java-design-patterns,arrange-act-assert,True,True,7,4.0,3,3,3.0,0
java-design-patterns,iterator,True,True,7,4.0,3,3,3.0,0
java-design-patterns,lazy-loading,True,True,7,4.0,3,3,3.0,0
easyexcel,easyexcel,True,True,48,16.0,32,17,17.0,0
easyexcel,easyexcel-test,True,True,1627,109.0,1518,79,51.0,28
easyexcel,easyexcel-support,True,True,17,0.0,17,2,2.0,0
easyexcel,easyexcel-core,True,True,48,16.0,32,16,16.0,0
nacos,plugin/environment,True,True,0,0.0,0,0,0.0,0
nacos,plugin/trace,True,True,0,0.0,0,0,0.0,0
nacos,plugin/datasource,True,True,0,0.0,0,0,0.0,0
nacos,plugin/encryption,True,True,0,0.0,0,0,0.0,0
nacos,plugin/config,True,True,0,0.0,0,0,0.0,0
nacos,plugin/control,True,True,0,0.0,0,0,0.0,0
nacos,plugin/auth,True,True,0,0.0,0,0,0.0,0
nacos,common,True,True,61,0.0,61,32,32.0,0
nacos,client,True,True,73,2.0,71,49,49.0,0
nacos,logger-adapter-impl/log4j2-adapter,True,True,61,0.0,61,33,33.0,0
nacos,logger-adapter-impl/logback-adapter-12,True,True,58,0.0,58,32,32.0,0
nacos,consistency,True,True,64,0.0,64,34,34.0,0
nacos,plugin-default-impl/nacos-default-control-plugin,True,True,61,0.0,61,34,34.0,0
WxJava,weixin-java-cp,True,True,120,3.0,117,22,22.0,0
WxJava,weixin-graal,True,True,2,0.0,2,1,1.0,0
WxJava,spring-boot-starters/wx-java-qidian-spring-boot-starter,True,True,972,17.0,955,34,31.0,3
WxJava,spring-boot-starters/wx-java-miniapp-multi-spring-boot-starter,True,True,945,15.0,930,34,31.0,3
WxJava,spring-boot-starters/wx-java-miniapp-spring-boot-starter,True,True,945,15.0,930,34,31.0,3
WxJava,spring-boot-starters/wx-java-channel-multi-spring-boot-starter,True,True,945,15.0,930,36,33.0,3
WxJava,spring-boot-starters/wx-java-cp-spring-boot-starter,True,True,945,15.0,930,32,29.0,3
WxJava,spring-boot-starters/wx-java-open-spring-boot-starter,True,True,945,15.0,930,36,33.0,3
WxJava,spring-boot-starters/wx-java-channel-spring-boot-starter,True,True,945,15.0,930,36,33.0,3
WxJava,spring-boot-starters/wx-java-mp-multi-spring-boot-starter,True,True,945,15.0,930,31,28.0,3
WxJava,spring-boot-starters/wx-java-mp-spring-boot-starter,True,True,1002,21.0,981,33,29.0,4
WxJava,spring-boot-starters/wx-java-pay-spring-boot-starter,True,True,660,15.0,645,37,34.0,3
WxJava,spring-boot-starters/wx-java-cp-multi-spring-boot-starter,True,True,945,15.0,930,32,29.0,3
WxJava,weixin-java-miniapp,True,True,120,3.0,117,24,24.0,0
WxJava,weixin-java-mp,True,True,159,3.0,156,27,27.0,0
WxJava,weixin-java-pay,True,True,127,3.0,124,27,27.0,0
WxJava,weixin-java-qidian,True,True,120,3.0,117,21,21.0,0
WxJava,weixin-java-channel,True,True,120,3.0,117,30,30.0,0
WxJava,weixin-java-open,True,True,120,3.0,117,26,26.0,0
WxJava,weixin-java-common,True,True,119,3.0,116,20,20.0,0
WxJava,solon-plugins/wx-java-pay-solon-plugin,True,True,126,3.0,123,29,29.0,0
WxJava,solon-plugins/wx-java-open-solon-plugin,True,True,119,3.0,116,28,28.0,0
WxJava,solon-plugins/wx-java-cp-multi-solon-plugin,True,True,119,3.0,116,24,24.0,0
WxJava,solon-plugins/wx-java-miniapp-multi-solon-plugin,True,True,119,3.0,116,26,26.0,0
WxJava,solon-plugins/wx-java-channel-solon-plugin,True,True,119,3.0,116,28,28.0,0
WxJava,solon-plugins/wx-java-miniapp-solon-plugin,True,True,119,3.0,116,26,26.0,0
WxJava,solon-plugins/wx-java-cp-solon-plugin,True,True,119,3.0,116,24,24.0,0
WxJava,solon-plugins/wx-java-mp-solon-plugin,True,True,176,9.0,167,25,24.0,1
WxJava,solon-plugins/wx-java-channel-multi-solon-plugin,True,True,119,3.0,116,28,28.0,0
WxJava,solon-plugins/wx-java-qidian-solon-plugin,True,True,146,5.0,141,26,26.0,0
WxJava,solon-plugins/wx-java-mp-multi-solon-plugin,True,True,119,3.0,116,23,23.0,0

